[C:\Users\Utilisateur\Desktop\dude.214|0|0];"";"";""
IDENT.Ident4;"123";"";"Personalized identification number"
IDENT.Ident1;"123";"";"Client Code"
FILESTAT.PARTNERName;"Helga";"";"Partner"
FILESTAT.PREPARERName;"Thor";"";"Preparer"
FILESTAT.REVIEWERName;"Techno Viking";"";"Reviewer"
FILESTAT.EMPLOYEEName;"Torrent";"";"Assigned to"
IDENT.Ident5;"2015-06-06";"";"Date needed"
IDENT.Ident400;"2";"";"Delivery method"
IDENT.Ident348;"541";"";"CCH Practice – Client ID"
IDENT.Ident349;"45";"";"CCH Practice – Engagement"
IDENT.Ident332;"N";"";"Do you want to transfer GIFI amounts to the applicable return and schedules?"
IDENT.Ident311;"asd";"";"Corporation's name"
IDENT.Ident6;"asdee";"";"Abbreviated name"
IDENT.Ident8;"MB";"";"Line 750 – Provincial or territorial jurisdiction"
IDENT.Ident181;"AI";"";"Line 081 – If no at line 080, give the country of residence and complete and attach Schedule 97."
IDENT.Ident405;"Y";"";"If the taxation year exceeds 365 days and no taxation year ends in the preceding calendar year, is the taxation year deemed under subsection 249(3) ITA to end the last day of the preceding calendar year?"
IDENT.Ident122;"Y";"";"Is the tax year a full year with a floating year-end?"
IDENT.Ident126;"N";"";"Line 063 – Has there been an acquisition of control to which subsection 249(4) applies since the tax year start on line 060?"
IDENT.Ident127;"2015-05-05";"";"Line 065 – If yes to line 063, provide the date control was acquired"
IDENT.Ident240;"Y";"";"Line 070 – Is this the first year of filing after incorporation?"
IDENT.Ident128;"2015-05-05";"";"Date of incorporation"
IDENT.Ident241;"Y";"";"Line 071 – Is this the first year of filing after amalgamation?"
IDENT.Ident129;"2015-05-05";"";"Date of amalgamation"
IDENT.Ident242;"Y";"";"Line 072 – Has there been a wind-up of a subsidiary under section 88 during the current tax year?"
IDENT.Ident243;"Y";"";"Line 076 – Is this the final tax year before amalgamation?"
IDENT.Ident429;"2015-05-05";"";"Date of amalgamation"
IDENT.Ident244;"Y";"";"Line 078 – Is this the final return up to dissolution?"
IDENT.Ident430;"2015-05-05";"";"Date of dissolution"
FDFTC.Ttwftc631;"04";"";"Line 079 – If an election was made under section 261, state the functional currency used"
IDENT.Ident416;"2,0000";"";"Relevant spot rate for the first day of the particular taxation year"
IDENT.Ident315;"NB";"";"Jurisdiction incorporated – Province"
IDENT.Ident316;"Banane";"";"Jurisdiction incorporated – Other (please specify):"
IDENT.Ident420;"Y";"";"Is this a request for an adjustment to a previously filed federal income tax return?"
IDENT.Ident423;"Y";"";"Is this an amended Alberta tax return?"
IDENT.Ident425;"Y";"";"Is this an amended Québec tax return?"
IDENT.Ident7;"12314 1244 RC1201";"";"Line 001 – Business Number (BN)"
IDENT.Ident10;"1254";"";"British Columbia – Account number"
IDENT.Ident331;"222222";"";"Ontario – Corporation Number (MGS)"
IDENT.Ident160;"1";"";"Line 040 – Type of corporation at the end of the tax year"
IDENT.Ident166;"Y";"";"Did the type of corporation change during the tax year?"
IDENT.Ident167;"2015-05-05";"";"Line 043 – If the type of corporation changed during the tax year, provide the effective date of the change"
IDENT.Ident170;"Y";"";"Line 067 – Is the corporation a professional corporation that is a member of a partnership?"
IDENT.Ident387;"Y";"";"Has the corporation made an election under subsection 89(11) not to be a CCPC in the current year?"
IDENT.Ident390;"Y";"";"Has the corporation made an election under subsection 89(11) not to be a CCPC in a prior year and this election has not been revoked?"
IDENT.Ident395;"Y";"";"Has the corporation revoked any previous election made under subsection 89(11) in the current year?"
IDENT.Ident401;"Y";"";"Has the corporation revoked any previous election made under subsection 89(11) in the previous year?"
IDENT.Ident388;"Y";"";"Is this a deposit insurance corporation as defined in subsection 137.1(5) ITA?"
IDENT.Ident391;"Y";"";"Was the corporation a deposit insurance corporation in the preceding year?"
IDENT.Ident162;"Y";"";"If the corporation is other than a CCPC, is it eligible for SBD?"
IDENT.Ident163;"Y";"";"Is this a corporation subject to Part IV tax (other than a private corporation) or a mutual fund corporation deemed to be a private corporation for the purpose of Part IV tax under section 131(5) ITA?"
IDENT.Ident393;"Y";"";"Was the corporation associated with another corporation for purposes of the allocation of the business limit in the preceding year (subsection 125 ITA)?"
IDENT.Ident327;"Y";"";"Is the corporation a mortgage investment corporation (s.130.1)?"
IDENT.Ident164;"Y";"";"Is this an investment corporation? (public corporation – see definition at 130(3))"
IDENT.Ident318;"Y";"";"Is this a non-resident-owned investment corporation?"
IDENT.Ident319;"Y";"";"Is this a corporation trading in securities?"
IDENT.Ident320;"Y";"";"Is this a financial institution prescribed by Regulation?"
IDENT.Ident321;"Y";"";"Is this a bank?"
IDENT.Ident322;"Y";"";"Is this a loan or trust corporation?"
IDENT.Ident324;"Y";"";"Is this a cooperative corporation? (136(2) ITA)"
IDENT.Ident396;"Y";"";"If yes, is it a cooperative corporation that is a CCPC for the purpose of the general tax reduction and the small business deduction (136(1) ITA)?"
IDENT.Ident418;"Y";"";"Was the corporation a cooperative that is a CCPC for the purpose of the general tax reduction and the small business deduction (136(1) ITA) in the preceding year?"
IDENT.Ident323;"Y";"";"Is this a mutual fund corporation?"
IDENT.Ident325;"Y";"";"Is this an insurance corporation?"
IDENT.Ident326;"Y";"";"If insurance corporation, did corporation carry on life insurance business?"
IDENT.Ident165;"Y";"";"Is the corporation a credit union?"
IDENT.Ident397;"Y";"";"If yes, do you want the investment income (line 440 of Schedule 200) to be deducted from the calculation of the general tax reduction for CCPCs?"
IDENT.Ident398;"Y";"";"Is this an oil refining corporation (QTA 771.1)?"
IDENT.Ident415;"Y";"";"Is the corporation a registered charity under paragraph 149(1)f) ITA?"
